"","Facility Type","Base Capacity","CAV Percentage","CAF","AV Market Penetration Adjusted Capacity","PCE","AV Market Penetration and PCE Adjusted Capacity","ZOV Percentage","ZOV CAF","ZOV and AV Market Penetration Adjusted Capacity","ZOV, PCE, and AV Market Penetration Adjusted Capacity"
"86","Freeway",2200,30,1.05666666666667,2325,0.8,2906,30,1.00666666666667,2215,2769
"87","Freeway",2200,30,1.05666666666667,2325,0.8,2906,40,1.10666666666667,2435,3044
"88","Freeway",2200,30,1.05666666666667,2325,0.8,2906,50,1.10666666666667,2435,3044
"89","Freeway",2200,30,1.05666666666667,2325,0.8,2906,60,1.10666666666667,2435,3044
"90","Freeway",2200,30,1.05666666666667,2325,0.8,2906,70,1.10666666666667,2435,3044
"91","Freeway",2200,30,1.05666666666667,2325,0.8,2906,80,1.10666666666667,2435,3044
"92","Freeway",2200,30,1.05666666666667,2325,0.8,2906,90,1.10666666666667,2435,3044
"93","Freeway",2200,30,1.05666666666667,2325,0.8,2906,10,1.00666666666667,2215,2769
"94","Freeway",2200,30,1.05666666666667,2325,0.8,2906,0,1.00666666666667,2215,2769
"95","Freeway",2200,30,1.05666666666667,2325,0.8,2906,20,1.00666666666667,2215,2769
"96","Freeway",2200,30,1.05666666666667,2325,0.8,2906,30,1.00666666666667,2215,2769
"97","Freeway",2200,30,1.05666666666667,2325,0.8,2906,40,1.10666666666667,2435,3044
"98","Freeway",2200,30,1.05666666666667,2325,0.8,2906,50,1.10666666666667,2435,3044
"99","Freeway",2200,30,1.05666666666667,2325,0.8,2906,60,1.10666666666667,2435,3044
"100","Freeway",2200,30,1.05666666666667,2325,0.8,2906,70,1.10666666666667,2435,3044
"101","Freeway",2200,30,1.05666666666667,2325,0.8,2906,80,1.10666666666667,2435,3044
"102","Freeway",2200,30,1.05666666666667,2325,0.8,2906,90,1.10666666666667,2435,3044
