CAV Percentage,ZOV Percent,Facility Type,Intervehicle Gap,Max Platoon,CAV Interplatoon Gap,Base Capacity,CAF
90,80,Diverge,0.71,10,2,2400,1.29
100,80,Diverge,0.71,10,2,2400,1.35
0,80,Diverge,0.71,10,2,2100,1.0
10,80,Diverge,0.71,10,2,2100,1.01
20,80,Diverge,0.71,10,2,2100,1.02
30,80,Diverge,0.71,10,2,2100,1.06
40,80,Diverge,0.71,10,2,2100,1.1
50,80,Diverge,0.71,10,2,2100,1.18
60,80,Diverge,0.71,10,2,2100,1.25
70,80,Diverge,0.71,10,2,2100,1.31
80,80,Diverge,0.71,10,2,2100,1.37
90,80,Diverge,0.71,10,2,2100,1.45
100,80,Diverge,0.71,10,2,2100,1.53
0,80,Diverge,0.71,10,2,1800,1.0
10,80,Diverge,0.71,10,2,1800,1.08
20,80,Diverge,0.71,10,2,1800,1.15
30,80,Diverge,0.71,10,2,1800,1.21
40,80,Diverge,0.71,10,2,1800,1.27
50,80,Diverge,0.71,10,2,1800,1.34
60,80,Diverge,0.71,10,2,1800,1.4
70,80,Diverge,0.71,10,2,1800,1.5
80,80,Diverge,0.71,10,2,1800,1.6
90,80,Diverge,0.71,10,2,1800,1.71
100,80,Diverge,0.71,10,2,1800,1.82
0,80,Merge,0.71,10,2,2200,1.0
10,80,Merge,0.71,10,2,2200,1.01
20,80,Merge,0.71,10,2,2200,1.02
30,80,Merge,0.71,10,2,2200,1.05
40,80,Merge,0.71,10,2,2200,1.07
50,80,Merge,0.71,10,2,2200,1.12
60,80,Merge,0.71,10,2,2200,1.16
70,80,Merge,0.71,10,2,2200,1.25
80,80,Merge,0.71,10,2,2200,1.33
90,80,Merge,0.71,10,2,2200,1.41
100,80,Merge,0.71,10,2,2200,1.49
0,90,Freeway,0.71,10,2,2400,1.0
10,90,Freeway,0.71,10,2,2400,1.01
20,90,Freeway,0.71,10,2,2400,1.02
30,90,Freeway,0.71,10,2,2400,1.05
40,90,Freeway,0.71,10,2,2400,1.07
50,90,Freeway,0.71,10,2,2400,1.1
60,90,Freeway,0.71,10,2,2400,1.13
70,90,Freeway,0.71,10,2,2400,1.18
80,90,Freeway,0.71,10,2,2400,1.22
90,90,Freeway,0.71,10,2,2400,1.29
100,90,Freeway,0.71,10,2,2400,1.35
0,90,Freeway,0.71,10,2,2100,1.0
10,90,Freeway,0.71,10,2,2100,1.01
20,90,Freeway,0.71,10,2,2100,1.02
30,90,Freeway,0.71,10,2,2100,1.06
40,90,Freeway,0.71,10,2,2100,1.1
50,90,Freeway,0.71,10,2,2100,1.18
60,90,Freeway,0.71,10,2,2100,1.25
70,90,Freeway,0.71,10,2,2100,1.31
80,90,Freeway,0.71,10,2,2100,1.37
90,90,Freeway,0.71,10,2,2100,1.45
100,90,Freeway,0.71,10,2,2100,1.53
0,90,Freeway,0.71,10,2,1800,1.0
10,90,Freeway,0.71,10,2,1800,1.08
20,90,Freeway,0.71,10,2,1800,1.15
30,90,Freeway,0.71,10,2,1800,1.21
40,90,Freeway,0.71,10,2,1800,1.27
50,90,Freeway,0.71,10,2,1800,1.34
60,90,Freeway,0.71,10,2,1800,1.4
70,90,Freeway,0.71,10,2,1800,1.5
80,90,Freeway,0.71,10,2,1800,1.6
90,90,Freeway,0.71,10,2,1800,1.71
100,90,Freeway,0.71,10,2,1800,1.82
0,90,Diverge,0.71,10,2,2400,1.0
10,90,Diverge,0.71,10,2,2400,1.01
20,90,Diverge,0.71,10,2,2400,1.02
30,90,Diverge,0.71,10,2,2400,1.05
40,90,Diverge,0.71,10,2,2400,1.07
50,90,Diverge,0.71,10,2,2400,1.1
60,90,Diverge,0.71,10,2,2400,1.13
70,90,Diverge,0.71,10,2,2400,1.18
80,90,Diverge,0.71,10,2,2400,1.22
90,90,Diverge,0.71,10,2,2400,1.29
100,90,Diverge,0.71,10,2,2400,1.35
0,90,Diverge,0.71,10,2,2100,1.0
10,90,Diverge,0.71,10,2,2100,1.01
20,90,Diverge,0.71,10,2,2100,1.02
30,90,Diverge,0.71,10,2,2100,1.06
40,90,Diverge,0.71,10,2,2100,1.1
50,90,Diverge,0.71,10,2,2100,1.18
60,90,Diverge,0.71,10,2,2100,1.25
70,90,Diverge,0.71,10,2,2100,1.31
80,90,Diverge,0.71,10,2,2100,1.37
90,90,Diverge,0.71,10,2,2100,1.45
100,90,Diverge,0.71,10,2,2100,1.53
0,90,Diverge,0.71,10,2,1800,1.0
10,90,Diverge,0.71,10,2,1800,1.08
20,90,Diverge,0.71,10,2,1800,1.15
30,90,Diverge,0.71,10,2,1800,1.21
40,90,Diverge,0.71,10,2,1800,1.27
50,90,Diverge,0.71,10,2,1800,1.34
60,90,Diverge,0.71,10,2,1800,1.4
70,90,Diverge,0.71,10,2,1800,1.5
80,90,Diverge,0.71,10,2,1800,1.6
90,90,Diverge,0.71,10,2,1800,1.71
100,90,Diverge,0.71,10,2,1800,1.82
0,90,Merge,0.71,10,2,2200,1.0
10,90,Merge,0.71,10,2,2200,1.01
20,90,Merge,0.71,10,2,2200,1.02
30,90,Merge,0.71,10,2,2200,1.05
40,90,Merge,0.71,10,2,2200,1.07
50,90,Merge,0.71,10,2,2200,1.12
60,90,Merge,0.71,10,2,2200,1.16
70,90,Merge,0.71,10,2,2200,1.25
80,90,Merge,0.71,10,2,2200,1.33
90,90,Merge,0.71,10,2,2200,1.41
100,90,Merge,0.71,10,2,2200,1.49
0,100,Freeway,0.71,10,2,2400,1.0
10,100,Freeway,0.71,10,2,2400,1.01
20,100,Freeway,0.71,10,2,2400,1.02
30,100,Freeway,0.71,10,2,2400,1.05
40,100,Freeway,0.71,10,2,2400,1.07
50,100,Freeway,0.71,10,2,2400,1.1
60,100,Freeway,0.71,10,2,2400,1.13
70,100,Freeway,0.71,10,2,2400,1.18
80,100,Freeway,0.71,10,2,2400,1.22
90,100,Freeway,0.71,10,2,2400,1.29
100,100,Freeway,0.71,10,2,2400,1.35
0,100,Freeway,0.71,10,2,2100,1.0
10,100,Freeway,0.71,10,2,2100,1.01
20,100,Freeway,0.71,10,2,2100,1.02
30,100,Freeway,0.71,10,2,2100,1.06
40,100,Freeway,0.71,10,2,2100,1.1
50,100,Freeway,0.71,10,2,2100,1.18
60,100,Freeway,0.71,10,2,2100,1.25
70,100,Freeway,0.71,10,2,2100,1.31
80,100,Freeway,0.71,10,2,2100,1.37
90,100,Freeway,0.71,10,2,2100,1.45
100,100,Freeway,0.71,10,2,2100,1.53
0,100,Freeway,0.71,10,2,1800,1.0
10,100,Freeway,0.71,10,2,1800,1.08
20,100,Freeway,0.71,10,2,1800,1.15
30,100,Freeway,0.71,10,2,1800,1.21
40,100,Freeway,0.71,10,2,1800,1.27
50,100,Freeway,0.71,10,2,1800,1.34
60,100,Freeway,0.71,10,2,1800,1.4
70,100,Freeway,0.71,10,2,1800,1.5
80,100,Freeway,0.71,10,2,1800,1.6
90,100,Freeway,0.71,10,2,1800,1.71
100,100,Freeway,0.71,10,2,1800,1.82
0,100,Diverge,0.71,10,2,2400,1.0
10,100,Diverge,0.71,10,2,2400,1.01
20,100,Diverge,0.71,10,2,2400,1.02
30,100,Diverge,0.71,10,2,2400,1.05
40,100,Diverge,0.71,10,2,2400,1.07
50,100,Diverge,0.71,10,2,2400,1.1
60,100,Diverge,0.71,10,2,2400,1.13
70,100,Diverge,0.71,10,2,2400,1.18
80,100,Diverge,0.71,10,2,2400,1.22
90,100,Diverge,0.71,10,2,2400,1.29
100,100,Diverge,0.71,10,2,2400,1.35
0,100,Diverge,0.71,10,2,2100,1.0
10,100,Diverge,0.71,10,2,2100,1.01
20,100,Diverge,0.71,10,2,2100,1.02
30,100,Diverge,0.71,10,2,2100,1.06
40,100,Diverge,0.71,10,2,2100,1.1
50,100,Diverge,0.71,10,2,2100,1.18
60,100,Diverge,0.71,10,2,2100,1.25
70,100,Diverge,0.71,10,2,2100,1.31
80,100,Diverge,0.71,10,2,2100,1.37
90,100,Diverge,0.71,10,2,2100,1.45
100,100,Diverge,0.71,10,2,2100,1.53
0,100,Diverge,0.71,10,2,1800,1.0
10,100,Diverge,0.71,10,2,1800,1.08
20,100,Diverge,0.71,10,2,1800,1.15
30,100,Diverge,0.71,10,2,1800,1.21
40,100,Diverge,0.71,10,2,1800,1.27
50,100,Diverge,0.71,10,2,1800,1.34
60,100,Diverge,0.71,10,2,1800,1.4
70,100,Diverge,0.71,10,2,1800,1.5
80,100,Diverge,0.71,10,2,1800,1.6
90,100,Diverge,0.71,10,2,1800,1.71
100,100,Diverge,0.71,10,2,1800,1.82
0,100,Merge,0.71,10,2,2200,1.0
10,100,Merge,0.71,10,2,2200,1.01
20,100,Merge,0.71,10,2,2200,1.02
30,100,Merge,0.71,10,2,2200,1.05
40,100,Merge,0.71,10,2,2200,1.07
50,100,Merge,0.71,10,2,2200,1.12
60,100,Merge,0.71,10,2,2200,1.16
70,100,Merge,0.71,10,2,2200,1.25
80,100,Merge,0.71,10,2,2200,1.33
90,100,Merge,0.71,10,2,2200,1.41
100,100,Merge,0.71,10,2,2200,1.49
